date,activity_type,unique_users,pct_of_enrolled,programme,data_source
2026-06-01,meal,0,0.00,VYTAL,activity_logs
2026-06-01,weight,0,0.00,VYTAL,activity_logs
2026-06-01,steps,6,0.06,VYTAL,activity_logs
2026-06-01,sleep,0,0.00,VYTAL,activity_logs
2026-06-01,app_activity,1,0.01,VYTAL,activity_logs
2026-06-02,meal,0,0.00,VYTAL,activity_logs
2026-06-02,weight,0,0.00,VYTAL,activity_logs
2026-06-02,steps,5,0.05,VYTAL,activity_logs
2026-06-02,sleep,0,0.00,VYTAL,activity_logs
2026-06-02,app_activity,32,0.31,VYTAL,activity_logs
2026-06-03,meal,0,0.00,VYTAL,activity_logs
2026-06-03,weight,0,0.00,VYTAL,activity_logs
2026-06-03,steps,3,0.03,VYTAL,activity_logs
2026-06-03,sleep,0,0.00,VYTAL,activity_logs
2026-06-03,app_activity,29,0.28,VYTAL,activity_logs
2026-06-04,meal,0,0.00,VYTAL,activity_logs
2026-06-04,weight,0,0.00,VYTAL,activity_logs
2026-06-04,steps,5,0.05,VYTAL,activity_logs
2026-06-04,sleep,0,0.00,VYTAL,activity_logs
2026-06-04,app_activity,0,0.00,VYTAL,activity_logs
2026-06-05,meal,0,0.00,VYTAL,activity_logs
2026-06-05,weight,0,0.00,VYTAL,activity_logs
2026-06-05,steps,6,0.06,VYTAL,activity_logs
2026-06-05,sleep,0,0.00,VYTAL,activity_logs
2026-06-05,app_activity,0,0.00,VYTAL,activity_logs
2026-06-06,meal,0,0.00,VYTAL,activity_logs
2026-06-06,weight,0,0.00,VYTAL,activity_logs
2026-06-06,steps,7,0.07,VYTAL,activity_logs
2026-06-06,sleep,0,0.00,VYTAL,activity_logs
2026-06-06,app_activity,0,0.00,VYTAL,activity_logs
2026-06-07,meal,0,0.00,VYTAL,activity_logs
2026-06-07,weight,0,0.00,VYTAL,activity_logs
2026-06-07,steps,6,0.06,VYTAL,activity_logs
2026-06-07,sleep,0,0.00,VYTAL,activity_logs
2026-06-07,app_activity,0,0.00,VYTAL,activity_logs
2026-06-08,meal,0,0.00,VYTAL,activity_logs
2026-06-08,weight,0,0.00,VYTAL,activity_logs
2026-06-08,steps,5,0.05,VYTAL,activity_logs
2026-06-08,sleep,0,0.00,VYTAL,activity_logs
2026-06-08,app_activity,2,0.02,VYTAL,activity_logs
2026-06-09,meal,0,0.00,VYTAL,activity_logs
2026-06-09,weight,0,0.00,VYTAL,activity_logs
2026-06-09,steps,7,0.07,VYTAL,activity_logs
2026-06-09,sleep,0,0.00,VYTAL,activity_logs
2026-06-09,app_activity,0,0.00,VYTAL,activity_logs
2026-06-10,meal,0,0.00,VYTAL,activity_logs
2026-06-10,weight,0,0.00,VYTAL,activity_logs
2026-06-10,steps,6,0.06,VYTAL,activity_logs
2026-06-10,sleep,0,0.00,VYTAL,activity_logs
2026-06-10,app_activity,0,0.00,VYTAL,activity_logs
2026-06-11,meal,0,0.00,VYTAL,activity_logs
2026-06-11,weight,0,0.00,VYTAL,activity_logs
2026-06-11,steps,6,0.06,VYTAL,activity_logs
2026-06-11,sleep,0,0.00,VYTAL,activity_logs
2026-06-11,app_activity,0,0.00,VYTAL,activity_logs
2026-06-12,meal,0,0.00,VYTAL,activity_logs
2026-06-12,weight,0,0.00,VYTAL,activity_logs
2026-06-12,steps,3,0.03,VYTAL,activity_logs
2026-06-12,sleep,0,0.00,VYTAL,activity_logs
2026-06-12,app_activity,0,0.00,VYTAL,activity_logs
2026-06-13,meal,0,0.00,VYTAL,activity_logs
2026-06-13,weight,0,0.00,VYTAL,activity_logs
2026-06-13,steps,8,0.08,VYTAL,activity_logs
2026-06-13,sleep,0,0.00,VYTAL,activity_logs
2026-06-13,app_activity,1,0.01,VYTAL,activity_logs
2026-06-14,meal,0,0.00,VYTAL,activity_logs
2026-06-14,weight,0,0.00,VYTAL,activity_logs
2026-06-14,steps,2,0.02,VYTAL,activity_logs
2026-06-14,sleep,0,0.00,VYTAL,activity_logs
2026-06-14,app_activity,0,0.00,VYTAL,activity_logs
2026-06-15,meal,0,0.00,VYTAL,activity_logs
2026-06-15,weight,0,0.00,VYTAL,activity_logs
2026-06-15,steps,5,0.05,VYTAL,activity_logs
2026-06-15,sleep,0,0.00,VYTAL,activity_logs
2026-06-15,app_activity,0,0.00,VYTAL,activity_logs
2026-06-16,meal,0,0.00,VYTAL,activity_logs
2026-06-16,weight,0,0.00,VYTAL,activity_logs
2026-06-16,steps,6,0.06,VYTAL,activity_logs
2026-06-16,sleep,0,0.00,VYTAL,activity_logs
2026-06-16,app_activity,0,0.00,VYTAL,activity_logs
2026-06-17,meal,0,0.00,VYTAL,activity_logs
2026-06-17,weight,0,0.00,VYTAL,activity_logs
2026-06-17,steps,6,0.06,VYTAL,activity_logs
2026-06-17,sleep,0,0.00,VYTAL,activity_logs
2026-06-17,app_activity,0,0.00,VYTAL,activity_logs
2026-06-18,meal,0,0.00,VYTAL,activity_logs
2026-06-18,weight,0,0.00,VYTAL,activity_logs
2026-06-18,steps,8,0.08,VYTAL,activity_logs
2026-06-18,sleep,0,0.00,VYTAL,activity_logs
2026-06-18,app_activity,0,0.00,VYTAL,activity_logs
2026-06-19,meal,0,0.00,VYTAL,activity_logs
2026-06-19,weight,0,0.00,VYTAL,activity_logs
2026-06-19,steps,9,0.09,VYTAL,activity_logs
2026-06-19,sleep,0,0.00,VYTAL,activity_logs
2026-06-19,app_activity,0,0.00,VYTAL,activity_logs
2026-06-20,meal,0,0.00,VYTAL,activity_logs
2026-06-20,weight,0,0.00,VYTAL,activity_logs
2026-06-20,steps,11,0.11,VYTAL,activity_logs
2026-06-20,sleep,0,0.00,VYTAL,activity_logs
2026-06-20,app_activity,0,0.00,VYTAL,activity_logs
2026-06-21,meal,0,0.00,VYTAL,activity_logs
2026-06-21,weight,0,0.00,VYTAL,activity_logs
2026-06-21,steps,9,0.09,VYTAL,activity_logs
2026-06-21,sleep,0,0.00,VYTAL,activity_logs
2026-06-21,app_activity,0,0.00,VYTAL,activity_logs
2026-06-22,meal,0,0.00,VYTAL,activity_logs
2026-06-22,weight,0,0.00,VYTAL,activity_logs
2026-06-22,steps,6,0.06,VYTAL,activity_logs
2026-06-22,sleep,0,0.00,VYTAL,activity_logs
2026-06-22,app_activity,0,0.00,VYTAL,activity_logs
2026-06-23,meal,0,0.00,VYTAL,activity_logs
2026-06-23,weight,0,0.00,VYTAL,activity_logs
2026-06-23,steps,6,0.06,VYTAL,activity_logs
2026-06-23,sleep,0,0.00,VYTAL,activity_logs
2026-06-23,app_activity,1,0.01,VYTAL,activity_logs
2026-06-24,meal,0,0.00,VYTAL,activity_logs
2026-06-24,weight,0,0.00,VYTAL,activity_logs
2026-06-24,steps,11,0.11,VYTAL,activity_logs
2026-06-24,sleep,0,0.00,VYTAL,activity_logs
2026-06-24,app_activity,1,0.01,VYTAL,activity_logs
2026-06-25,meal,0,0.00,VYTAL,activity_logs
2026-06-25,weight,0,0.00,VYTAL,activity_logs
2026-06-25,steps,8,0.08,VYTAL,activity_logs
2026-06-25,sleep,0,0.00,VYTAL,activity_logs
2026-06-25,app_activity,0,0.00,VYTAL,activity_logs
2026-06-26,meal,0,0.00,VYTAL,activity_logs
2026-06-26,weight,0,0.00,VYTAL,activity_logs
2026-06-26,steps,16,0.16,VYTAL,activity_logs
2026-06-26,sleep,0,0.00,VYTAL,activity_logs
2026-06-26,app_activity,1,0.01,VYTAL,activity_logs
2026-06-27,meal,0,0.00,VYTAL,activity_logs
2026-06-27,weight,0,0.00,VYTAL,activity_logs
2026-06-27,steps,2,0.02,VYTAL,activity_logs
2026-06-27,sleep,0,0.00,VYTAL,activity_logs
2026-06-27,app_activity,1,0.01,VYTAL,activity_logs
2026-06-28,meal,0,0.00,VYTAL,activity_logs
2026-06-28,weight,0,0.00,VYTAL,activity_logs
2026-06-28,steps,7,0.07,VYTAL,activity_logs
2026-06-28,sleep,0,0.00,VYTAL,activity_logs
2026-06-28,app_activity,1,0.01,VYTAL,activity_logs
2026-06-29,meal,0,0.00,VYTAL,activity_logs
2026-06-29,weight,0,0.00,VYTAL,activity_logs
2026-06-29,steps,5,0.05,VYTAL,activity_logs
2026-06-29,sleep,0,0.00,VYTAL,activity_logs
2026-06-29,app_activity,4,0.04,VYTAL,activity_logs
2026-06-30,meal,0,0.00,VYTAL,activity_logs
2026-06-30,weight,0,0.00,VYTAL,activity_logs
2026-06-30,steps,8,0.08,VYTAL,activity_logs
2026-06-30,sleep,0,0.00,VYTAL,activity_logs
2026-06-30,app_activity,4,0.04,VYTAL,activity_logs
2026-07-01,meal,0,0.00,VYTAL,activity_logs
2026-07-01,weight,0,0.00,VYTAL,activity_logs
2026-07-01,steps,5,0.05,VYTAL,activity_logs
2026-07-01,sleep,0,0.00,VYTAL,activity_logs
2026-07-01,app_activity,2,0.02,VYTAL,activity_logs
2026-07-02,meal,0,0.00,VYTAL,activity_logs
2026-07-02,weight,0,0.00,VYTAL,activity_logs
2026-07-02,steps,5,0.05,VYTAL,activity_logs
2026-07-02,sleep,0,0.00,VYTAL,activity_logs
2026-07-02,app_activity,0,0.00,VYTAL,activity_logs
2026-07-03,meal,0,0.00,VYTAL,activity_logs
2026-07-03,weight,0,0.00,VYTAL,activity_logs
2026-07-03,steps,3,0.03,VYTAL,activity_logs
2026-07-03,sleep,0,0.00,VYTAL,activity_logs
2026-07-03,app_activity,0,0.00,VYTAL,activity_logs
2026-07-04,meal,0,0.00,VYTAL,activity_logs
2026-07-04,weight,0,0.00,VYTAL,activity_logs
2026-07-04,steps,5,0.05,VYTAL,activity_logs
2026-07-04,sleep,0,0.00,VYTAL,activity_logs
2026-07-04,app_activity,2,0.02,VYTAL,activity_logs
2026-07-05,meal,0,0.00,VYTAL,activity_logs
2026-07-05,weight,0,0.00,VYTAL,activity_logs
2026-07-05,steps,5,0.05,VYTAL,activity_logs
2026-07-05,sleep,0,0.00,VYTAL,activity_logs
2026-07-05,app_activity,0,0.00,VYTAL,activity_logs
2026-07-06,meal,0,0.00,VYTAL,activity_logs
2026-07-06,weight,0,0.00,VYTAL,activity_logs
2026-07-06,steps,3,0.03,VYTAL,activity_logs
2026-07-06,sleep,0,0.00,VYTAL,activity_logs
2026-07-06,app_activity,0,0.00,VYTAL,activity_logs
2026-07-07,meal,0,0.00,VYTAL,activity_logs
2026-07-07,weight,0,0.00,VYTAL,activity_logs
2026-07-07,steps,5,0.05,VYTAL,activity_logs
2026-07-07,sleep,0,0.00,VYTAL,activity_logs
2026-07-07,app_activity,1,0.01,VYTAL,activity_logs
2026-07-08,meal,0,0.00,VYTAL,activity_logs
2026-07-08,weight,0,0.00,VYTAL,activity_logs
2026-07-08,steps,3,0.03,VYTAL,activity_logs
2026-07-08,sleep,0,0.00,VYTAL,activity_logs
2026-07-08,app_activity,0,0.00,VYTAL,activity_logs
2026-07-09,meal,0,0.00,VYTAL,activity_logs
2026-07-09,weight,0,0.00,VYTAL,activity_logs
2026-07-09,steps,3,0.03,VYTAL,activity_logs
2026-07-09,sleep,0,0.00,VYTAL,activity_logs
2026-07-09,app_activity,0,0.00,VYTAL,activity_logs
2026-07-10,meal,0,0.00,VYTAL,activity_logs
2026-07-10,weight,0,0.00,VYTAL,activity_logs
2026-07-10,steps,6,0.06,VYTAL,activity_logs
2026-07-10,sleep,0,0.00,VYTAL,activity_logs
2026-07-10,app_activity,0,0.00,VYTAL,activity_logs
2026-07-11,meal,0,0.00,VYTAL,activity_logs
2026-07-11,weight,0,0.00,VYTAL,activity_logs
2026-07-11,steps,2,0.02,VYTAL,activity_logs
2026-07-11,sleep,0,0.00,VYTAL,activity_logs
2026-07-11,app_activity,0,0.00,VYTAL,activity_logs
2026-07-12,meal,0,0.00,VYTAL,activity_logs
2026-07-12,weight,0,0.00,VYTAL,activity_logs
2026-07-12,steps,5,0.05,VYTAL,activity_logs
2026-07-12,sleep,0,0.00,VYTAL,activity_logs
2026-07-12,app_activity,0,0.00,VYTAL,activity_logs
2026-07-13,meal,0,0.00,VYTAL,activity_logs
2026-07-13,weight,0,0.00,VYTAL,activity_logs
2026-07-13,steps,1,0.01,VYTAL,activity_logs
2026-07-13,sleep,0,0.00,VYTAL,activity_logs
2026-07-13,app_activity,0,0.00,VYTAL,activity_logs
2026-07-14,meal,0,0.00,VYTAL,activity_logs
2026-07-14,weight,0,0.00,VYTAL,activity_logs
2026-07-14,steps,2,0.02,VYTAL,activity_logs
2026-07-14,sleep,0,0.00,VYTAL,activity_logs
2026-07-14,app_activity,0,0.00,VYTAL,activity_logs
2026-07-15,meal,0,0.00,VYTAL,activity_logs
2026-07-15,weight,0,0.00,VYTAL,activity_logs
2026-07-15,steps,8,0.08,VYTAL,activity_logs
2026-07-15,sleep,0,0.00,VYTAL,activity_logs
2026-07-15,app_activity,0,0.00,VYTAL,activity_logs
2026-07-16,meal,0,0.00,VYTAL,activity_logs
2026-07-16,weight,0,0.00,VYTAL,activity_logs
2026-07-16,steps,1,0.01,VYTAL,activity_logs
2026-07-16,sleep,0,0.00,VYTAL,activity_logs
2026-07-16,app_activity,0,0.00,VYTAL,activity_logs
2026-07-17,meal,0,0.00,VYTAL,activity_logs
2026-07-17,weight,0,0.00,VYTAL,activity_logs
2026-07-17,steps,7,0.07,VYTAL,activity_logs
2026-07-17,sleep,0,0.00,VYTAL,activity_logs
2026-07-17,app_activity,0,0.00,VYTAL,activity_logs
2026-07-18,meal,0,0.00,VYTAL,activity_logs
2026-07-18,weight,0,0.00,VYTAL,activity_logs
2026-07-18,steps,9,0.09,VYTAL,activity_logs
2026-07-18,sleep,0,0.00,VYTAL,activity_logs
2026-07-18,app_activity,0,0.00,VYTAL,activity_logs
2026-07-19,meal,0,0.00,VYTAL,activity_logs
2026-07-19,weight,0,0.00,VYTAL,activity_logs
2026-07-19,steps,6,0.06,VYTAL,activity_logs
2026-07-19,sleep,0,0.00,VYTAL,activity_logs
2026-07-19,app_activity,0,0.00,VYTAL,activity_logs
2026-07-20,meal,0,0.00,VYTAL,activity_logs
2026-07-20,weight,0,0.00,VYTAL,activity_logs
2026-07-20,steps,2,0.02,VYTAL,activity_logs
2026-07-20,sleep,0,0.00,VYTAL,activity_logs
2026-07-20,app_activity,0,0.00,VYTAL,activity_logs
2026-07-22,meal,0,0.00,VYTAL,activity_logs
2026-07-22,weight,0,0.00,VYTAL,activity_logs
2026-07-22,steps,4,0.04,VYTAL,activity_logs
2026-07-22,sleep,0,0.00,VYTAL,activity_logs
2026-07-22,app_activity,0,0.00,VYTAL,activity_logs
2026-07-23,meal,0,0.00,VYTAL,activity_logs
2026-07-23,weight,0,0.00,VYTAL,activity_logs
2026-07-23,steps,4,0.04,VYTAL,activity_logs
2026-07-23,sleep,0,0.00,VYTAL,activity_logs
2026-07-23,app_activity,0,0.00,VYTAL,activity_logs
2026-07-24,meal,0,0.00,VYTAL,activity_logs
2026-07-24,weight,0,0.00,VYTAL,activity_logs
2026-07-24,steps,3,0.03,VYTAL,activity_logs
2026-07-24,sleep,0,0.00,VYTAL,activity_logs
2026-07-24,app_activity,0,0.00,VYTAL,activity_logs
2026-07-25,meal,0,0.00,VYTAL,activity_logs
2026-07-25,weight,0,0.00,VYTAL,activity_logs
2026-07-25,steps,2,0.02,VYTAL,activity_logs
2026-07-25,sleep,0,0.00,VYTAL,activity_logs
2026-07-25,app_activity,0,0.00,VYTAL,activity_logs
2026-07-26,meal,0,0.00,VYTAL,activity_logs
2026-07-26,weight,0,0.00,VYTAL,activity_logs
2026-07-26,steps,5,0.05,VYTAL,activity_logs
2026-07-26,sleep,0,0.00,VYTAL,activity_logs
2026-07-26,app_activity,0,0.00,VYTAL,activity_logs
2026-07-27,meal,0,0.00,VYTAL,activity_logs
2026-07-27,weight,0,0.00,VYTAL,activity_logs
2026-07-27,steps,2,0.02,VYTAL,activity_logs
2026-07-27,sleep,0,0.00,VYTAL,activity_logs
2026-07-27,app_activity,11,0.11,VYTAL,activity_logs
2026-07-28,meal,0,0.00,VYTAL,activity_logs
2026-07-28,weight,0,0.00,VYTAL,activity_logs
2026-07-28,steps,5,0.05,VYTAL,activity_logs
2026-07-28,sleep,0,0.00,VYTAL,activity_logs
2026-07-28,app_activity,0,0.00,VYTAL,activity_logs
2026-07-29,meal,0,0.00,VYTAL,activity_logs
2026-07-29,weight,0,0.00,VYTAL,activity_logs
2026-07-29,steps,2,0.02,VYTAL,activity_logs
2026-07-29,sleep,0,0.00,VYTAL,activity_logs
2026-07-29,app_activity,0,0.00,VYTAL,activity_logs
2026-07-30,meal,0,0.00,VYTAL,activity_logs
2026-07-30,weight,0,0.00,VYTAL,activity_logs
2026-07-30,steps,4,0.04,VYTAL,activity_logs
2026-07-30,sleep,0,0.00,VYTAL,activity_logs
2026-07-30,app_activity,0,0.00,VYTAL,activity_logs
2026-07-31,meal,0,0.00,VYTAL,activity_logs
2026-07-31,weight,0,0.00,VYTAL,activity_logs
2026-07-31,steps,4,0.04,VYTAL,activity_logs
2026-07-31,sleep,0,0.00,VYTAL,activity_logs
2026-07-31,app_activity,1,0.01,VYTAL,activity_logs
2026-08-01,meal,0,0.00,VYTAL,activity_logs
2026-08-01,weight,0,0.00,VYTAL,activity_logs
2026-08-01,steps,3,0.03,VYTAL,activity_logs
2026-08-01,sleep,0,0.00,VYTAL,activity_logs
2026-08-01,app_activity,0,0.00,VYTAL,activity_logs
2026-08-03,meal,0,0.00,VYTAL,activity_logs
2026-08-03,weight,0,0.00,VYTAL,activity_logs
2026-08-03,steps,2,0.02,VYTAL,activity_logs
2026-08-03,sleep,0,0.00,VYTAL,activity_logs
2026-08-03,app_activity,0,0.00,VYTAL,activity_logs
2026-08-04,meal,0,0.00,VYTAL,activity_logs
2026-08-04,weight,0,0.00,VYTAL,activity_logs
2026-08-04,steps,2,0.02,VYTAL,activity_logs
2026-08-04,sleep,0,0.00,VYTAL,activity_logs
2026-08-04,app_activity,0,0.00,VYTAL,activity_logs
